Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$200 for $230,10027,Credits,2.000,400.00,0.000,0.00,0.00,400.00,0.00,400.00,100.00%,0.00
$3.00 Per Pax Drinks,10057,No category,28.000,84.00,0.000,0.00,37.47,46.53,0.00,46.53,100.00%,0.00
$6.00 Per Pax,10056,No category,28.000,168.00,0.000,0.00,74.95,93.05,0.00,93.05,100.00%,0.00
(L) Grill Pork,10021,Sides 1,91.000,618.80,0.000,0.00,55.14,563.66,0.00,563.66,100.00%,0.00
(L) Lemon Grass Chicken,10022,Sides 1,45.000,261.00,0.000,0.00,25.23,235.77,0.00,235.77,100.00%,0.00
(R) Grill Pork,10004,Sides 1,177.000,743.40,0.000,0.00,53.86,689.54,0.00,689.54,100.00%,0.00
(R) Lemon Grass Chicken,10003,Sides 1,89.000,311.50,0.000,0.00,14.81,296.69,0.00,296.69,100.00%,0.00
(S) Collagen Chicken Broth,10006,No category,30.000,129.00,0.000,0.00,1.72,127.28,0.00,127.28,100.00%,0.00
(S) Mala Minced Pork,10015,No category,16.000,78.80,0.000,0.00,9.76,69.04,0.00,69.04,100.00%,0.00
(S)Collagen Pork Broth,00001,No category,47.000,225.60,0.000,0.00,16.08,209.52,0.00,209.52,100.00%,0.00
(S)Northern Thai Pork Rib,01S,No category,78.000,438.00,0.000,0.00,13.50,424.50,0.00,424.50,100.00%,0.00
(S)Thai Stew Chicken,03S,No category,24.000,103.20,0.000,0.00,2.60,100.60,0.00,100.60,100.00%,0.00
(S)Tom Yum Pork,02S,No category,35.000,168.00,0.000,0.00,0.72,167.28,0.00,167.28,100.00%,0.00
(SX3) River Prawn,10029,Sides 1,3.000,26.40,0.000,0.00,0.00,26.40,0.00,26.40,100.00%,0.00
Aurora Cooler,10040,No category,56.000,199.00,0.000,0.00,12.62,186.38,0.00,186.38,100.00%,0.00
Chendol,10046,No category,3.000,8.40,0.000,0.00,0.00,8.40,0.00,8.40,100.00%,0.00
Chendol with Ruby,10047,No category,7.000,26.60,0.000,0.00,1.14,25.46,0.00,25.46,100.00%,0.00
Coke,10039,No category,4.000,8.80,0.000,0.00,0.00,8.80,0.00,8.80,100.00%,0.00
Cold Lemongrass Tea,10041,No category,125.000,325.00,0.000,0.00,17.42,307.58,0.00,307.58,100.00%,0.00
Collagen Chicken Broth,10005,No category,87.000,463.60,0.000,0.00,27.24,436.36,0.00,436.36,100.00%,0.00
Collagen Pork Broth,10000,No category,137.000,799.60,0.000,0.00,68.26,731.34,0.00,731.34,100.00%,0.00
Creamy Tom Yum,10018,No category,150.000,880.00,0.000,0.00,102.53,777.47,0.00,777.47,100.00%,0.00
Creamy Tom Yum,005,No category,0.000,0.00,2.000,15.60,0.00,-15.60,-6.00,-9.60,61.54%,0.00
Crispy Pork,10059,Products,90.000,628.00,0.000,0.00,23.80,604.20,0.00,604.20,100.00%,0.00
Deposit,10054,No category,1.000,200.00,0.000,0.00,0.00,200.00,0.00,200.00,100.00%,0.00
Dessert,10058,No category,33.000,49.50,0.000,0.00,3.01,46.49,0.00,46.49,100.00%,0.00
Half Egg,10055,Sides 1,6.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Hot Coffee,802,No category,69.000,124.20,0.000,0.00,0.36,123.84,0.00,123.84,100.00%,0.00
Hot Lemongrass Tea,10042,No category,105.000,189.00,0.000,0.00,6.94,182.06,0.00,182.06,100.00%,0.00
Hot Tea,801,No category,91.000,163.80,0.000,0.00,6.12,157.68,0.00,157.68,100.00%,0.00
Lime Juice,10025,No category,78.000,224.80,0.000,0.00,11.97,212.83,0.00,212.83,100.00%,0.00
Mala Minced Pork,10014,No category,73.000,429.40,0.000,0.00,19.30,410.10,0.00,410.10,100.00%,0.00
Mala Minced Pork,003,No category,0.000,0.00,1.000,7.80,0.00,-7.80,-3.00,-4.80,61.54%,0.00
Mango Sago,10048,No category,25.000,95.00,0.000,0.00,15.83,79.17,0.00,79.17,100.00%,0.00
Mango Sticky Rice,10028,No category,136.000,788.80,0.000,0.00,41.15,747.65,0.00,747.65,100.00%,0.00
Meat Patty,10013,Sides 1,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Mu Ping,10052,Sides 1,110.000,638.00,0.000,0.00,96.45,541.55,0.00,541.55,100.00%,0.00
Mu Ping (X1),10053,Sides 1,51.000,102.00,0.000,0.00,10.40,91.60,0.00,91.60,100.00%,0.00
Northern Thai Pork Rib,01,No category,341.000,2336.80,1.000,6.80,99.67,2230.33,0.00,2230.33,100.00%,0.00
Northern Thai Pork Rib,null,No category,0.000,0.00,1.000,7.80,0.00,-7.80,-3.00,-4.80,61.54%,0.00
Papaya Salad,10017,Sides 1,48.000,230.40,0.000,0.00,27.83,202.57,0.00,202.57,100.00%,0.00
Pink Soda,10050,No category,31.000,80.60,0.000,0.00,7.32,73.28,0.00,73.28,100.00%,0.00
Premium Tom Yum,10019,No category,71.000,767.80,0.000,0.00,34.10,733.70,0.00,733.70,100.00%,0.00
Red Ruby,3001,No category,63.000,176.40,0.000,0.00,6.44,169.96,0.00,169.96,100.00%,0.00
Rice,10007,Sides 2,137.000,137.00,0.000,0.00,3.75,133.25,0.00,133.25,100.00%,0.00
Rice Cracker,10049,Products,96.000,576.00,0.000,0.00,5.10,570.90,0.00,570.90,100.00%,0.00
Sai Mai,10023,No category,91.000,364.00,0.000,0.00,60.38,303.62,0.00,303.62,100.00%,0.00
Spicy Pork Rib,10012,Sides 1,2.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Spicy Pork Salad,10051,Sides 1,55.000,264.00,0.000,0.00,31.60,232.40,0.00,232.40,100.00%,0.00
Stew Chicken Feet,10010,Sides 1,12.000,36.00,0.000,0.00,2.10,33.90,0.00,33.90,100.00%,0.00
Stew Chicken Wing,10011,Sides 1,5.000,15.00,0.000,0.00,0.90,14.10,0.00,14.10,100.00%,0.00
Straw (Set),10038,Products,2.000,20.00,0.000,0.00,0.00,20.00,0.00,20.00,100.00%,0.00
